Domain,Focus Area,Level,Items
Data Protection,Data Encryption,Initial,Enterprise encryption policy is aligned with necessary regulatory and compliance requirement
,,,The level of trust required has been determined with regards to key management (e.g. compliance)
,,,Usage of the default CSP-managed key for encryption usage
,,Managed,Encryption settings for each adopted service are configured
,,,Cloud to on-prem communication is routed over a secure and encrypted channel
,,,Key management service is used to manage keys
,,,Disaster recovery requirements for keys have been established
,,Defined,Encryption-related configurations are implemented by IaC
,,,Key management service and customer-managed keys are leveraged for cloud-based encryption
,,,A workflow is established for key rotation
,,,Validated roles allowed to manage keys are based on least privilege
,,Quantitatively Managed,"When required by regulatory or industry requirement, HSM-based key management service is leveraged to safeguard keys"
,,,Validated encryption requirements are implemented across in-transit and stored data across all cloud services
,,Optimizing,Periodic validation is in place for all keys in the cloud environment are managed by a key management service
,,,Exercises on the recovery action in a disaster affecting keys are performed
,Data Classification and Protection,Initial,Manual and limited automation inventory exists in locations where sensitive data is stored and SaaS services are used in alignment with policy.
,,Managed,Discovery technologies deployed to locate sensitive data
,,,Remediation is executed manually as needed
,,,"Discovered sensitive data are manually validated and with protective configurations (encryption, de identification) applied"
,,Defined,COverage of scanned locations is expanded to the discovery of other SaaS services utilized (cloud access security broker)
,,Quantitatively Managed,"Digital-rights management is implemented, on top of automatic data protection by encryption and de-identification"
,,Optimizing,API Integrations are used for scanning contents to find and respond to sensitive data patterns as well as threats like cloud malware
,Data Backup and Resiliency,Initial,Business continuity and disaster recovery requirements have been identified and documented
,,Managed,Cloud environment is configured on a best effort basis to match availability requirements
,,,Configuration guardrails for configurations are updated to include backup configurations
,,,Tag and resource IDs are used to automatically identify resources that store data for business-critical applications for backup considerations
,,Defined,IaC and event driven architecture are implemented as an essential part of the backup strategy
,,,Data stored is evaluated to ensure compliance with availability requirements
,,Quantitatively Managed,Protect critical data using immutable backups
,,Optimizing,Data classification is leveraged to validate data retention and backup objectives are met
IAM ,Segregation,Initial,Mandated use of approved cloud environments/accounts
,,,Isolated functional area (e.g. Dev/Staging/Prod) used where possible and different projects for isolation to reduce blast radius
,,Managed,Established enterprise resources permission segregation model in alignment with CSP's best practices
,,,Level of separation necessary separation has been determined
,,,The segregation model should have taken enterprise security variation into account (e.g. departments or LOBs)
,,Defined,Updated the enterprise IaC Templates with the segregation model
,,Quantitatively Managed,Segregation model aligned to multi cloud environment
,,,Logical separation maintained consistently across CSP's but the technical implementation can be different
